NOMBRE DEL SUJETO DE APOYO,NOMBRE DEL PROYECTO,SECTOR ,MONTO
RESINAS Y MATERIALES SA DE CV,"ESTUDIO, SINTESIS Y CARACTERIZACION DE ACETOGLICERIDOS EPOXIDADOS PARA LA PREPARACION DE UN PLASTIFICANTE PRIMARIO A BASE DE MATERIAS PRIMAS RENOVABLES",QUIMICA,3348394
TECNOLOGIAS BINAH SA DE CV,PARQUE PILOTO CON MIRAS AL ESCALAMIENTO DEL SISTEMA TECNIFICADO DE ULTRA-BAJO COSTO PARA LA VIVIENDA SOCIAL DE AUTOPRODUCCION ASISTIDA (MITECNOCASA PARK),CONSTRUCCION,9563000
KINGO SYSTEMS SA DE CV,"DISENO Y DESARROLLO DE UN CONMUTADOR TELEFONICO INTELIGENTE PARA
PROPORCIONAR INFORMACION ACADEMICA A LOS PADRES DE FAMILIA ACERCA DEL DESEMPENO
ACADEMICO DE SUS HIJOS",TECNOLOGIAS DE LA INFORMACION,165060
SOLUCIONES DIGITALES Y DE PROCESOS  SA DE CV,PLATAFORMA  INTEGRAL EDUCATIVA DE ENTORNO INTELIGENTE DE APRENDIZAJE,TECNOLOGIAS DE LA INFORMACION,9917975
GRUPO COMERCIAL NAVARRETE Y ASOCIADOS SPR DE RL,"RENOVACION DE PLANTACIONES DE COCO EN GUERRERO MEDIANTE EL USO DEL CULTIVO DE TEJIDOS VEGETALES, UNA HERRAMIENTA BIOTECNOLOGICA.",AGROINDUSTRIAL,5071920
HIDROATLIXCO S DE RL DE CV,"DISENO, DESARROLLO E INGENIERIA DE TECNOLOGIA PARA LA GENERACION DE ENERGIA RENOVABLE EN EL ESTADO DE GUERRERO.",ENERGIA,20145000
PROTO MEX SA DE CV,LABORATORIO DE SENSORES DE TEMPERATURA DE AIRE (TAT): PREVENCION DE DESGASTE Y CORROSION EN BASE A RECUBRIMIENTOS POR DEPOSICION FISICA DE VAPOR (PVD),AEROESPACIAL,7078911
SIMON QUIMICA SA DE CV,SINTESIS DE SISTEMAS DE POLIURETANO PARA SUSTITUIR PIEL EXOTICA EN INDUSTRIA TEXTIL Y CALZADO.,QUIMICA,2388800
PIRELLI NEUMATICOS SA DE CV,"IDTI DE NEUMATICOS +VERDES+ DE ULTRA ALTO RENDIMIENTO Y +PREMIUM+ INTEGRANDO MATERIALES ECOCOMPATIBLES DE ALTO DESEMPENO, DURABILIDAD, ESTABILIDAD TERMICA, SEGURIDAD, AHORRO DE COMBUSTIBLE Y REDUCCION DE CO2 CON BASE EN MENOR RESISTENCIA AL RODADO (3%)",AUTOMOTRIZ,19655023
LABORATORIOS SENOSIAIN SA DE CV,NUEVA OPCION TERAPEUTICA CON EFECTO PLEIOTROPICO POTENCIADO PARA EL TRATAMIENTO DE ENFERMEDADES CARDIOVASCULARES,FARMACEUTICA,1046711
BIOGENERADORES DE MEXICO SPR DE RL,REDUCCION DEL TIEMPO DE OBTENCION DE HARINAS DE ALTO POTENCIAL PROTEICO COMO SUBPRODUCTO DE ALTO VALOR AGREGADO MEDIANTE LA INTENSIFICACION DE PRODUCCION DE BIOENERGETICOS A PARTIR DE RESIDUOS AGROINDUSTRIALES DE LA REGION BAJIO.,BIOTECNOLOGIA,2645000
CONAGRA FOODS MEXICO SA DE CV,"DESARROLLO DE PRODUCTOS, PROCESOS Y EMPAQUES PARA LAS LINEAS ESTRATEGICAS DE NEGOCIO MEDIANTE INNOVACION RADICAL",ALIMENTOS,6150463
NUBBA COMERCIAL SA DE CV,ESTUDIO DE LA ECOLOGIA MICROBIANA DEL RUMEN DE BOVINOS (BOS TAURUS) PARA EL AISLAMIENTO DE MICROORGANISMOS AEROBICOS CON ACTIVIDAD.,BIOTECNOLOGIA,674350
INSTALACIONES CONSTANTES SA DE CV,INNOVACION Y DESARROLLO DE TECNOLOGIA MEXICANA APLICADA A INVERNADEROS DE PRODUCCION INTENSIVA CON AMBIENTE CONTROLADO.,METALMECANICA,6279575
LOTTO BIO NANO LABORATORIES SA DE CV,AMPLIACION DE PLANTA PILOTO PARA ESCALAMIENTOS DE PROCESOS BIO TECNOLOGICOS Y BIO NANOTECNOLOGICOS,BIOTECNOLOGIA,4342500
BETA PROCESOS SA DE CV,DESARROLLO A NIVEL PILOTO DE UN DENTIFRICO LIBRE DE FLUOR A TRAVES DE UN PROCESO INNOVADOR DE BAJO COSTO,QUIMICA,3893728
NUTRIMENTOS MAGNUM SA DE CV,"PRODUCCION DE MAGNUM SUPLEMENTS, MIKROS MAGNUM Y MEJORA DE MAGNUM PET FOOD",ALIMENTOS,4492889
SIEX MEXICO SA DE CV,"SISTEMA INTEGRAL PARA LA GESTION DE ACTIVOS INMOBILIARIOS Y CENTROS COMERCIALES, A TRAVES DE LA INTERACCION DE ELEMENTOS GRAFICOS Y BASES DE DATOS REMOTAS, ADMINISTRABLE A TRAVES DE LA WEB Y MEDIOS MOVILES.",TECNOLOGIAS DE LA INFORMACION,1009730
ECOAGRONEGOCIOS S DE RL DE CV,PRODUCCION INTENSIVA E INDUSTRIALIZACION DE SUBPRODUCTOS DE SABILA USANDO INNOVACION TECNOLOGICA EN LA ZONA NORESTE DE GUANAJUATO,AGROINDUSTRIAL,5128628
PORCELANITE LAMOSA SA DE CV,LOSETAS CERAMICAS CON ELEVADA RESISTENCIA AL DESGASTE PARA APLICACIONES DE ALTO TRAFICO UTILIZANDO MATERIALES NANOESTRUCTURADOS,CONSTRUCCION,3463235
4E POWER AND FUELS S DE RL,SOLAR FRESNEL SATCF,ENERGIA,847500
4E POWER AND FUELS S DE RL,4E SYNGAS/BIOGAS RECOVERY POWER PLANT. ESCALAMIENTO INDUSTRIAL,ENERGIA,1521750
FROZEN PULPS DE MEXICO SA DE CV,DISENO Y DESARROLLO TECNOLOGICO DE UN PROTOTIPO DE MOLINO PARA EL PROCESAMIENTO DE PULPA DE MANGO.,ALIMENTOS,3298500
MEZCLAS Y FERTILIZANTES SA DE CV,GENERACION DE UN NUEVO NUTRIENTE VEGETAL GRANULADO A BASE DE ARCILLAS Y MICRONUETRIENTES QUE OPTIMIZA LA ABSOCION Y ASIMILACION DE HIERRO EN LOS CULTIVOS MEDIANTE LA INCORPORACION DE SIDEROFOROS,QUIMICA,5481882
NEW BLUE DERIVATIVES SA DE CV,COLAGENO COMO ALTERNATIVA APLICADA A BIO-IMPLANTES VIA OSTEOGENESIS,FARMACEUTICA,1979750
PRODUCTORA SATIVA SPR DE RL DE CV,"LINEA PILOTO PARA EL APROVECHAMIENTO INTEGRAL DE ALFALFA (MEDICAGO SATIVA SPP), COMO UN PRODUCTO DE ALTO VALOR NUTRACEUTICO PARA CONSUMO HUMANO.",ALIMENTOS,8349375
MEZCLAS Y FERTILIZANTES SA DE CV,CARACTERIZACION DE UN EXTRACTO DE SABILA (ALOE VERA) EN LA REGENERACION DE CELULAS  VEGETALES SOMETIDAS A ESTRES Y DESARROLLO DE UN FERTILIZANTE ORGANICO DE APLICACION FOLIAR,AGROINDUSTRIAL,1161954
VZERT S DE RL DE CV,"DISENO Y DESARROLLO DE PROTOCOLO DE PROGRAMACION PARA GARANTIZAR LA COMPATIBILIDAD Y CONFIDENCIALIDAD EN EL INTERCAMBIO ELECTRONICO DE DATOS, ENTRE SISTEMAS DE FIDELIZACION Y HERRAMIENTAS DE GESTION TPV EN FORMATO HTML5 A TRAVES DE MEDIOS MOVILES.",TECNOLOGIAS DE LA INFORMACION,1018806
ELECTROPLATING & SURFACE ENGINEERING SA DE CV,PROCESOS DE TRATAMIENTOS SUPERFICIALES DE ALTO DESEMPENO ANTICORROSIVO.,AUTOMOTRIZ,2421194
ECOAGRONEGOCIOS S DE RL DE CV,PROTOTIPO DE EQUIPO BIOTECNOLOGICO PARA PRODUCIR ALIMENTO BALANCEADO CON HARINA DE LOMBRIZ Y LARVA DE MOSCA PARA ALIMENTAR ESPECIES ACUICOLAS,AGROINDUSTRIAL,3887400
GKN DRIVELINE CELAYA SA DE CV,"DISENO Y DESARROLLO DE NUEVAS FLECHAS Y JUNTAS DE VELOCIDAD CONSTANTE E INNOVACION DE SUS PROCESOS Y TECNOLOGIAS PARA LAS PLATAFORMAS: CHRYSLER: W; HONDA:FIT, SCUV, CIVIC; VW: VW370; AUDI: Q5; FORD: CD4.2; NISSAN: L42L-HEV, L12J Y GM: E2XX, GMI700, OMEGA",AUTOMOTRIZ,24510384
SIGMA ALIMENTOS LACTEOS SA DE CV,DESARROLLO DE UN NUEVO PROCESO PARA LA PLATAFORMA DE QUESOS PANELA PARA GENERAR INNOVACION TECNOLOGICA QUE APOYE LA COMPETITIVIDAD Y EL CRECIMIENTO DE SIGMA ALIMENTOS MEDIANTE EL DESARROLLO DE PROTOTIPOS DE EQUIPOS PILOTO Y ESCALAMIENTO SEMI INDUSTRIAL,ALIMENTOS,8578219
IPSOBOX SA DE CV,ALGORITMOS MATEMATICOS Y CALCULOS DE ENLACES PARA EL DISENO OPTIMO DE REDES DE BANDA ANCHA,TELECOMUNICACIONES,5124150
PAKTEC DE MEXICO SA DE CV,"DESARROLLO DE UN PROTOTIPO DE REACTOR DE HASTA 10LTS PARA LA CONVERSION DE PET A COMBUSTIBLE, ENERGIZADO CON ENERGIA SOLAR Y COMPLEMENTADO CON ENERGIA ELECTRICA",PLASTICOS,2611050
TRANSPORTES ONLINE S DE RL DE CV,SISTEMA HIDRAULICO REGENERATIVO PARA AHORRO DE COMBUSTIBLE EN AUTOTRANSPORTE DE CARGA HEAVY DUTY - ASHR,AUTOMOTRIZ,7036708
PROCESADORA Y MAQUILADORA WYNY SA DE CV,"DESARROLLO DE NUEVO PROCESO PARA LA OBTENCION DE RECURTIENTE PROTEINICO-VEGETAL NATURAL DE ALTA EFICIENCIA, A PARTIR DE LOS RESIDUOS GENERADOS EN EL CURTIDO AL VEGETAL.",CUERO Y CALZADO,2732500
PRODUCTOS TERMOPLASTICOS SA DE CV,DESARROLLO DE PROCESO PARA LA FABRICACION DE POLIMEROS BASE EVA ULTRA LIGERO Y RECICLABLE PARA INDUSTRIA DEL CALZADO.,PLASTICOS,1753186
RICAP SA DE CV,TECNOLOGIA ENZIMATICA APLICADA PARA LA OBTENCION DE UN SABORIZANTE NATURAL A PARTIR DE JITOMATE,ALIMENTOS,1492697
MEZCLAS Y FERTILIZANTES SA DE CV,GENERACION DE CARPETAS TECNOLOGICAS PARA LA CERTIFICACION SANITARIA Y COMERCIAL DE MOLECULAS PROTOTIPO DE AGROQUIMICOS Y FERTILIZANTES.,QUIMICA,2384500
REGA TEKNIK SA DE CV,"LABORATORIO DE PROTOTIPOS PARA CORTADORES GENERADORES DE ENGRANES RECUBIERTOS EN BASE A LA TECNICA ""PHYSICAL VAPOR DEPOSITION"" EN SU MODALIDAD DE ARCO CATODICO.",MAQUINARIA INDUSTRIAL,10254757
CALZADO BLASITO.SA DE CV,"DESARROLLO DE CALZADO ECOLOGICO ESCOLAR, A PARTIR DE LA REUTILIZACION DE SOBRANTES DE PIEL Y FORRO EN EL PROCESO NORMAL DE FABRICACION.",CUERO Y CALZADO,2227850
COLOR Y DISENO SA DE CV,"DISENO Y DESARROLLO DE NUEVO PROCESO PARA LA CREACION DE ETIQUETAS DE SEGURIDAD, A TRAVES DE NANO PARTICULAS Y EL DESARROLLO DE UN PROTOTIPO DE FUENTE DE EXCITACION.",IMPRESION,3386058
INNOVACION AERODINAMICA DE MEXICO SA DE CV,"DESARROLLO E INNOVACION DEÿ LODERA AERODINAMICA PARA TRACTOCAMIONES DE ALTO IMPACTO AL SECTOR DE AUTOTRANSPORTE DE CARGA, MEDIANTE LA REDUCCION DELÿ CONSUMO DE DIESEL Y LAS EMISIONES CONTAMINANTES",AUTOMOTRIZ,1686990
INDUSTRIAS SCALINI SA DE CV,DESARROLLO DE INNOVADOR SISTEMA INTEGRAL MODULAR DE BANDA TRANSPORTADORA PARA REDUCCION DE COSTOS DE PRODUCCION EN LA INDUSTRIA DEL CALZADO.,CUERO Y CALZADO,3601518
ECOAGRONEGOCIOS S DE RL DE CV,INNOVACION EN UN PAQUETE BIOTECNOLOGICO PARA PRODUCIR ALIMENTOS CON PROBIOTICOS COMO UN SUSTITUTO DE LA COMIDA CHATARRA EN MEXICO,ALIMENTOS,4609400
CONGELADOS LA HACIENDA SA DE CV,PROTOTIPO MECATRONICO PARA LA INNOVACION DEL DESCORAZONADO AUTOMATICO EN LA AGROINDUSTRIA NACIONAL DEDICADO A LA HORTALIZA,AGROINDUSTRIAL,4564374
POLIMEROS Y DERIVADOS SA DE CV,DESARROLLO DE MODELO DE GESTION DE EFICIENCIA ENERGETICA: CONSTRUCCION DE ESCENARIOS QUE ESTIMAN EL CONSUMO Y BALANCE DE ENERGIA ELECTRICA EN LAS LINEAS DE PRODUCCION DE POLIMEROS,ENERGIA,197032
HORMAS HER-SAN SA DE CV,DESARROLLO DE UN BOTON HIBRIDO ESPECIAL PARA VIAS POCO FIRMES COMO LOS DE ASFALTO QUE MANTENGAN LA REFLEJANCIA CONSTANTE SIN ALTERAR SUS PROPIEDADES FISICO MECANICAS,PLASTICOS,1817694
SOLARTEC SA DE CV,DISENO DE PROTOTIPO DE MEDIDOR DE ENERGIA ELECTRICA-SOLAR PARA USO RESIDENCIAL,ENERGIA,1140000
TECNOCIENCIAS APLICADAS SA DE CV,SISTEMA CASERO DE IDENTIFICACION GENETICA PARA EL DIAGNOSTICO DE ENFERMEDADES RESPIRATORIAS: DIAGEN ETAPA 3,SALUD,9750000
KIORU SA DE CV,"DISENO Y DESARROLLO DE UN AULA INTERACTIVA CON NUEVA TEORIA PEDAGOGICA MEDIANTE EL DESARROLLO DE TECNOLOGIAS ELECTRONICAS, INFORMATICAS Y DE COMUNICACION.",TECNOLOGIAS DE LA INFORMACION,1318200
TERMOINNOVA SA DE CV,CENTRO DE INVESTIGACION PARA EL DESARROLLO Y ESCALAMIENTO DE REVESTIMIENTOS NANOESTRUCTURADOS. ETAPA 2014: PLASMAS PRODUCIDOS POR PULVERIZACION REACTIVA DE BLANCOS EN MAGNETRONES CON PULSOS MODULADOS DE ULTRA ALTA POTENCIA. (CIDERNA),METALURGIA,11307227
SMARTFOAM SA DE CV,"DISENO, FABRICACION Y PUESTA EN MARCHA DE UNA MAQUINA -PROTOTIPO- PARA LA OBTENCION DE LAMINAS CONTINUAS DE ESPUMA DE POLIURETANO",MAQUINARIA INDUSTRIAL,9873178
CAJAPLAX SA DE CV,"CONSTRUCCION DE UN PROCESO AUTOMATICO PARA EL ARMADO INOCUO DE BIBERON CON BASE EN LA APLICACION DE UN ROBOT DE CONFIGURACION DELTA, CONTROLADO POR CINEMATICA INVERSA PROGRAMADA EN PLATAFORMA LABVIEW COMO MAQUINA DE ESTADO FINITO.",MECATRONICA,2125022
PLASTICOS AUTOMOTRICES DE SAHAGUN SA DE CV,DISENO Y DESARROLLO DE UN COFRE PROTOTIPO AGRICOLA CON APLICACION DE UN NUEVO SISTEMA ECOLOGICO DE RECUBRIMIENTO BASE AGUA.,AUTOMOTRIZ,4439300
CICAINTE S DE RL DE CV,DESARROLLO DE UNA PLATAFORMA TECNOLOGICA TOUCH PARA LA EDUCACION BASICA,TECNOLOGIAS DE LA INFORMACION,2101656
SOLUCIONES TECNICAS PARA LA CONSTRUCCION DEL CENTRO SA DE CV,"INVESTIGACION, DISENO Y DESARROLLO DE UN PROTOTIPO DE MORTERO BASE CEMENTO ALTAMENTE MODIFICADO CON NANOPOLIMEROS PARA LA INSTALACION DE RECUBRIMIENTOS CERAMICOS DE NULA POROSIDAD CON PROPIEDADES ADHESIVAS, ACUSTICAS, FLEXIBLES, ECOLOGICAS E HIDROFOBICAS",QUIMICA,814553
EMPACADORA MURGATI SA DE CV,DESARROLLO TECNOLOGICO PARA INCREMENTAR LAS PROPIEDADES NUTRIMENTALES Y FUNCIONALES EN PRODUCTOS CARNICOS EMULSIONADOS PARA LA REDUCCION DE GRASAS SATURADAS Y ACTIVIDAD ACUOSA,ALIMENTOS,1473338
FRITOS TOTIS SA DE CV,"INTEGRACION DE DESARROLLOS CIENTIFICO-TECNOLOGICOS DE MATERIAS PRIMAS Y SISTEMAS DE PROCESO PARA REDUCCION DE GRASAS, SUSTITUCION DE INGREDIENTES ARTIFICIALES POR NATURALES Y REDUCCION DE SODIO EN BOTANAS.",ALIMENTOS,2330039
SOLUCIONES Y PROCESOS MECATRONICOS S.DE RL DE CV,"INEX, SIMULADOR DE EDUCACION VIAL, II ETAPA",TECNOLOGIAS DE LA INFORMACION,2928666
CLARIMEX SA DE CV,"DESARROLLO DE UN NUEVO PRODUCTO DE CARBON ACTIVADO VEGETAL EN POLVO CON CARACTERISTICAS DE QUIMISORCION Y FISISORCION QUE INHIBAN LA TEMPERATURA DE IGNICION ESPONTANEA, ASI COMO UN NUEVO PROCESO PARA SU FABRICACION.",QUIMICA,6750000
MANTIZ GAME STUDIOS S DE RL DE CV,CENTRO DE DESARROLLO E INNOVACION EN EFECTOS VISUALES PARA PROVEER SERVICIOS DE ALTO VALOR AGREGADO A LA INDUSTRIA NORTEAMERICANA DE NUEVOS MEDIOS. SEGUNDA PARTE,TECNOLOGIAS DE LA INFORMACION,3717983
RESORTES DE HIDALGO SA DE CV,"INVESTIGACION, DESARROLLO DE PROTOTIPO DE FORMADORA AUTOMATIZADA DE RESORTES DE DOBLE TORSION CON RECUBRIMIENTO ANTICORROSIVO",MECATRONICA,4815838
SIGMA ALIMENTOS CENTRO SA DE CV,"DESARROLLO DE NUEVOS PRODUCTOS DE COMIDAS PREPARADAS PORTABLES, MEDIANTE NUEVOS PROCESOS Y FORMULACIONES ALTAMENTE INNOVADORAS QUE SATISFAGAN LA NECESIDAD DEL CONSUMIDOR DE COMIDAS RAPIDAS Y SALUDABLES.",ALIMENTOS,7940551
REALIDAD AUMENTADA MEXICO S DE RL DE CV,AULA COLABORATIVA INTELIGENTE,TECNOLOGIAS DE LA INFORMACION,3216000
BIOS TECNOLOGIA APLICADA S DE RL DE CV,"MEJORAMIENTO DE LINEAS GENETICAS DE EBO Y, OBTENCION DE INOCULO PARA FORRAJES ENSILADOS VIA DIFERENTES BASES.",BIOTECNOLOGIA,3042000
XOLOTL CREATIVE LABS S DE RL DE CV,"DESARROLLO DE PROTOTIPO DE LABORATORIOS VIRTUALES  PARA EL FOMENTO DE CIENCIA Y TECNOLOGIA EN NIVEL BASICO, SEGUNDA ETAPA.",TECNOLOGIAS DE LA INFORMACION,2224331
TELAIO NETWORKS SA DE CV,INTERFAZ VISUAL NO INVASIVA PARA FACILITAR EL PROCESO DE INTERPRETACION DE LA COMUNICACION NO VERBAL.,TECNOLOGIAS DE LA INFORMACION,191400
TECNO PROCESOS ABERI SA  DE CV,"GENERACION DE  NANO-COMPUESTOS POLIMERICOS A PARTIR DE POLIMEROS RECICLADOS Y DESARROLLO DE COMPONENTES MULTICAPA MEDIANTE CO-EXTRUSION Y SOPLADO CON PROPIEDADES DE DESCARGA ELECTROSTATICA  ""NANO-PLASTICS""",PLASTICOS,5524568
TIZAQUIM SA DE CV,PLANTA PILOTO  DE TRANSFORMACION EN PELLET DE TERMOPLASTICOS IMPREGNADOS CON RESIDUOS INDUSTRIALES,QUIMICA,2672059
INDUSTRIAS DE HULE GALGO SA DE CV,DESARROLLO DE COMPUESTOS DE HULE PARA REDUCIR LA RESISTENCIA AL RODAMIENTO DE LAS LLANTAS RENOVADAS DE TRACTOCAMIONES.,PLASTICOS,10606861
CARU ARDICA SA DE CV,PROTOTIPO DE EQUIPO TECNOLOGICO PARA DISENO CAD/CAM Y AUTOMATIZACION DEL PROCESO DE ELABORACION DE MOLDURAS EN CANTERA.,MAQUINARIA INDUSTRIAL,2641170
BPM SINAPSYS SA DE CV,DESARROLLO DE APLICACIONES MOVILES PARA EL APRENDIZAJE UBICUO (UBIQUITOUS LEARNING) EN TIEMPO REAL EN EL AULA - UBILEARN,TECNOLOGIAS DE LA INFORMACION,1599380
MAMBASOFT SA DE CV,DISENO DE MODELOS DE GESTION Y APLICACIONES MOVILES PARA LA DESCRIPCION ARCHIVISTICA Y  TECNICAS DE ADMINISTRACION DOCUMENTAL ¨ 0218343,TECNOLOGIAS DE LA INFORMACION,981900
SILOS Y CAMIONES SA DE CV,"DESARROLLO TECNOLOGICO DE INGENIERIA INTEGRAL AUTOMATIZADA OPTIMIZANDO FABRICACION Y ADMINISTRACION DE RECURSOS, GENERANDO COMPETITIVIDAD EMPRESARIAL.",METALMECANICA,716400
CARU ARDICA SA DE CV,DESARROLLO DE UN SISTEMA DE GENERACION DE ELECTRICIDAD PARA CENTRALES TERMOSOLARES DE TORRE BASADO EN FLUIDOS SUPERCRITICOS,ENERGIA,6602300
CARU ARDICA SA DE CV,"DESARROLLO DE SOFTWARE PARA SIMULACION DE PROYECTOS DEL AREA ENERGETICA SOLAR, BASADO EN MODELOS DE OPTIMIZACION PARA EL DISENO DE INFRAESTRUCTURA Y ANALISIS ECONOMICO DE CENTRALES TERMOSOLARES DE CONCENTRACION TIPO TORRE.",TECNOLOGIAS DE LA INFORMACION,2407930
VERTESSENCE SA DE CV,"DISENO DE MODELOS Y APLICACIONES MOVILES PARA LA EVALUACION Y REDUCCION DEL IMPACTO AMBIENTAL, DE BAJO COSTO, AUTOGESTIONABLES Y TRANSFERIBLES ¨ ECOINSIGHT",TECNOLOGIAS DE LA INFORMACION,1087850
SELFTEC SA DE CV,ELECTROCOAGULACION AVANZADA COMO PROCESO INNOVADOR PARA EL PRETRATAMIENTO DE VINAZAS TEQUILERAS A NIVEL PILOTO 3¦ ETAPA,BIOTECNOLOGIA,10461007
INTERLUB SA DE CV,PLATAFORMA TECNOLOGICA PARA EL DESARROLLO DE COMPUESTOS BASICOS PARA FORMULAR INHIBIDORES DE FRICCION DE ORIGEN SUSTENTABLE UTILIZADOS EN LA INDUSTRIA MINERA Y FERROVIARIA.,QUIMICA,4329134
KURAGO BIOTEK  HOLDINGS  SAPI DE CV,ALIMENTO FUNCIONAL SIMBIOTICO SINERGICO PARA DISMINUCION DE TEJIDO ADIPOSO EN INDIVIDUOS CON SOBREPESO U OBESIDAD,ALIMENTOS,6304598
CALIDRA DE OCCIDENTE SA DE CV,"MODERNIZACION ENERGETICA DEL PROCESO DE PRODUCCION DE CAL HIDRATADA, MEDIANTE EL DESARROLLO DE TECNOLOGIA PARA LA SUSTITUCION DE  COMBUSTIBLE FOSIL (COQUE) POR BIOMASA VEGETAL RESIDUAL: REDUCCION EN EMISIONES DE CO2 Y  COSTOS DE PRODUCCION",QUIMICA,9050000
ALMACENADORA MERCADER SA,SISTEMA AUTOMATICO DE INTERPRETACION DE IMAGENES Y ESCANEO PARA EL CALCULO DE VOLUMENES DE INVENTARIOS,EQUIPO DE MEDICION Y CONTROL,4159713
OMNIBUS DE TEQUILA SA DE CV,"INNOVADOR SISTEMA PARA CONTROL, MONITOREO Y GESTION EN LINEA DE PASAJEROS, CONDUCTORES Y UNIDADES CON INFORMACION EN TIEMPO REAL QUE APORTA MAYOR SEGURIDAD, PREVENCION DE SITUACIONES DE RIESGO, COBRO MULTITARIFA CON -MERMA CERO-
-SECTOR AUTOTRANSPORTE-",TECNOLOGIAS DE LA INFORMACION,3044950
PLASTICOS Y MATERIAS PRIMAS SA DE CV,I+D DE DISPOSITIVOS Y SISTEMA CERRADO PROTOTIPO LIBRE DE AGUJA PARA VENOCLISIS Y  TERAPIA CITOTOXICA SEGURA  QUE DISMINUYE RIESGOS DE  FLEBITIS POR INFECCION NOSOCOMIAL Y CONTAMINACION DE FLUIDOS CORPORALES,FARMACEUTICA,4273655
CONTINENTAL AUTOMOTIVE GUADALAJARA MEXICO SA DE CV,"DESARROLLO DE SISTEMAS ELECTRONICOS PARA LA INDUSTRIA AUTOMOTRIZ ENFOCADOS EN LA REDUCCION DE EMISIONES DE CO2, SEGURIDAD E INTERFAZ HOMBRE-MAQUINA.",TECNOLOGIAS DE LA INFORMACION,36000000
ADVANCED TECHNOLOGY RESEARCH SA DE CV,DESARROLLO DE TERMINALES PARA EL SISTEMA SATELITAL MEXSAT,TELECOMUNICACIONES,8839650
DINA CAMIONES SA DE CV,DESARROLLO PROTOTIPO AUTOBUS SHUTTLE BUS CON MODULACION NUMERICA APLICANDO NORMATIVIDAD DOT PARA EXPORTACION ESTADOS UNIDOS.,AUTOMOTRIZ,17591754
MODUTRAM MEXICO SA DE CV,DESARROLLO DE APLICACIONES DE SOFTWARE PARA EL TRANSPORTE PUBLICO MASIVO USANDO TECNOLOGIA GRT,TECNOLOGIAS DE LA INFORMACION,869497
X-NAX S DE RL DE CV,CONSTRUCCION Y VALIDACION DE UNA PLANTA PILOTO PARA PRODUCIR ALIMENTO FORTIFICADO PARA GANADO A PARTIR DE LAS VINAZAS DESCARTADAS EN EL PROCESO DE DESTILACION,BIOTECNOLOGIA,4512500
PATRON SPIRITS MEXICO SA DE CV,"REDUCCION DE LAS EMISIONES DE BIOXIDO DE CARBONO Y MATERIAL PARTICULADO, ASI COMO DE LOS COSTOS DE PRODUCCION  DEL PROCESO DE ELABORACION DE TEQUILA MEDIANTE LA MODERNIZACION DE LA PLATAFORMA ENERGETICA DERIVADO DE LA SUSTITUCION DEL COMBUSTOLEO.",BIOTECNOLOGIA,6193000
ARDITA MEXICO SA DE CV,HERRAMIENTA PARA LA GENERACION DE UN RESUMEN DE CONOCIMIENTO DE MULTIPLES FUENTES USANDO ABDUCCION AUTOMATICA.,TECNOLOGIAS DE LA INFORMACION,1033500
ORACLE DE MEXICO SA DE CV,INFRAESTRUCTURA DE BASE DE DATOS EN LA NUBE,TECNOLOGIAS DE LA INFORMACION,11064567
IBM DE MEXICO COMERCIALIZACION Y SERVICIOS S DE RL DE CV,DISENO E IMPLEMENTACION DE SISTEMAS INTELIGENTES BASADOS EN ALGORITMOS DE RECONOCIMIENTO DE PATRONES Y ANALITICA DE DATOS PARA LA INNOVACION DE PROCESOS DE ALTO VALOR AGREGADO.,TECNOLOGIAS DE LA INFORMACION,10194165
MEDICAL CARE ESCORTS SA DE CV,"INTEGRACION TECNOLOGICA PARA DISMINUIR EL ERROR HUMANO Y AUMENTAR LA SEGURIDAD Y LA CALIDAD EN LA ATENCION DEL PACIENTE EN LAS AREAS DE TERAPIA INTENSIVA, URGENCIAS Y  SALAS DE CIRUGIA (QUIROFANO)",TECNOLOGIAS DE LA INFORMACION,17678233
ALTUS BIOPHARM SA DE CV,DESARROLLO DE NUEVOS BIOPRODUCTOS DE AMPLIO ESPECTRO A PARTIR DE STREPTOMYCES DIRIGIDOS AL CONTROL DE FITOPATOGENOS,AGROINDUSTRIAL,1024620
COMERCIALIZADORA DE EMBUTIDOS ICO SA DE CV,"NUEVO PROCESO PILOTO DE TRATAMIENTO DE AGUAS RESIDUALES PROVENIENTES DE LA ELABORACION DE EMBUTIDOS, MEDIANTE TRANSFERENCIA Y ADAPTACION DE UNA TECNOLOGIA DE RENOVACION MOLECULAR Y EL DISENO Y DESARROLLO DE SISTEMAS PROTOTIPO QUE GENEREN VENTAJAS",ALIMENTOS,3908411
ALIMENTOS FINOS DE OCCIDENTE SA DE CV,"DESARROLLO DE PROCESOS INNOVADORES PARA LA OBTENCION DE GRASAS FUNCIONALES BASADAS EN ORGANOGELES Y  SUS EMULSIONES ESTABILIZADAS COMO ALTERNATIVA SALUDABLE A GRASAS SATURADAS Y TRANS, QUE TENGAN APLICACION EN SISTEMAS ALIMENTARIOS",ALIMENTOS,4987363
BERRYMEX S DE RL DE CV,"DISENO DE BIOFORMULACIONES MICROBIANAS, BIOFERTILIZANTES CON MEZCLAS DE MICROORGANISMOS NATIVOS Y METODOS DE FERTILIZACION INTELIGENTE PARA OPTIMIZAR LA PRODUCCION Y CALIDAD DE LOS CULTIVOS DE BERRIES EN MEXICO.",AGROINDUSTRIAL,6281581
